Maker,Genmodel,Segment,Rental_price
Abarth,124 Spider,Convertible,300.77
Abarth,500,Hatchback,122.0
Abarth,500C,Convertible,174.11
Abarth,595,Hatchback,142.52
Abarth,695,Hatchback,176.72
Abarth,Grande Punto,Hatchback,121.08
Abarth,Punto Evo,Hatchback,144.95
Alfa Romeo,147,Hatchback,116.55
Alfa Romeo,156,Sedan,135.84
Alfa Romeo,159,Sedan,171.38
Alfa Romeo,166,Sedan,186.21
Alfa Romeo,4C,Sports,651.75
Alfa Romeo,Brera,Coupe,247.7
Alfa Romeo,GT,Coupe,204.99
Alfa Romeo,GTV,Coupe,215.87
Alfa Romeo,Giulia,Sedan,257.61
Alfa Romeo,Giulietta,Hatchback,159.15
Alfa Romeo,MiTo,Hatchback,106.1
Alfa Romeo,Spider,Convertible,242.45
Alfa Romeo,Stelvio,SUV,296.88
Aston Martin,DB11,Coupe,1596.96
Aston Martin,DB7,Coupe,937.48
Aston Martin,DB9,Coupe,1295.33
Aston Martin,DBS,Coupe,1777.02
Aston Martin,Rapide,Sedan,1282.26
Aston Martin,Vanquish,Coupe,1909.0
Aston Martin,Vantage,Coupe,944.1
Aston Martin,Virage,Coupe,1582.14
Audi,A1,Hatchback,123.0
Audi,A2,Hatchback,115.33
Audi,A3,Hatchback,148.22
Audi,A4,Sedan,182.45
Audi,A5,Coupe,275.55
Audi,A6,Sedan,225.86
Audi,A7,Sedan,382.29
Audi,A8,Sedan,432.08
Audi,Q2,SUV,182.92
Audi,Q3,SUV,219.24
Audi,Q5,SUV,262.25
Audi,Q7,SUV,369.79
Audi,Q8,SUV,560.32
Audi,R8,Sports,1204.87
Audi,TT,Coupe,254.28
BMW,1 Series,Hatchback,156.77
BMW,2 Series,Coupe,242.33
BMW,3 Series,Sedan,185.07
BMW,4 Series,Coupe,313.09
BMW,5 Series,Sedan,241.03
BMW,6 Series,Coupe,538.04
BMW,7 Series,Sedan,429.52
BMW,Alpina B3,Sedan,489.03
BMW,Alpina B5,Sedan,629.96
BMW,Alpina B6,Coupe,982.21
BMW,Alpina D5 Bi-Turbo,Sedan,495.65
BMW,X1,SUV,215.1
BMW,X2,SUV,261.76
BMW,X3,SUV,253.83
BMW,X4,SUV,327.26
BMW,X5,SUV,349.48
BMW,X6,SUV,424.72
BMW,Z3,Convertible,210.8
BMW,Z4,Convertible,270.18
BMW,i3,Hatchback,277.07
BMW,i8,Sports,1417.52
Bentley,Arnage,Sedan,1405.51
Bentley,Bentayga,SUV,1300.92
Bentley,Brooklands,Coupe,2449.37
Bentley,Continental,Coupe,1295.94
Bentley,Flying Spur,Sedan,1214.11
Bentley,Mulsanne,Sedan,2002.44
Cadillac,BLS,Sedan,183.45
Cadillac,CTS,Sedan,223.82
Cadillac,Escalade,SUV,426.36
Cadillac,SRX,SUV,246.28
Cadillac,STS,Sedan,297.86
Chevrolet,Aveo,Hatchback,78.04
Chevrolet,Blazer,SUV,197.77
Chevrolet,Camaro,Sports,449.21
Chevrolet,Captiva,SUV,163.61
Chevrolet,Cruze,Sedan,118.17
Chevrolet,Epica,Sedan,120.4
Chevrolet,Kalos,Hatchback,61.26
Chevrolet,Lacetti,Hatchback,86.38
Chevrolet,Matiz,Hatchback,51.26
Chevrolet,Orlando,MPV,149.94
Chevrolet,Spark,Hatchback,67.48
Chevrolet,Tacuma,MPV,97.32
Chevrolet,Trax,SUV,134.18
Chevrolet,Volt,Hatchback,308.26
Chrysler,300C,Sedan,253.02
Chrysler,Crossfire,Coupe,273.18
Chrysler,Delta,Hatchback,142.02
Chrysler,Grand Voyager,MPV,223.36
Chrysler,Neon,Sedan,102.99
Chrysler,PT Cruiser,Hatchback,119.47
Chrysler,Sebring,Sedan,166.2
Chrysler,Voyager,MPV,160.72
Chrysler,Ypsilon,Hatchback,89.13
Citroen,Berlingo,MPV,93.12
Citroen,Berlingo Multispace,MPV,104.14
Citroen,C-Crosser,SUV,191.15
Citroen,C-Zero,Hatchback,212.37
Citroen,C1,Hatchback,67.8
Citroen,C2,Hatchback,68.95
Citroen,C3,Hatchback,84.48
Citroen,C3 Aircross,SUV,121.13
Citroen,C3 Picasso,MPV,119.7
Citroen,C3 Pluriel,Convertible,132.24
Citroen,C4,Hatchback,116.15
Citroen,C4 Cactus,SUV,141.16
Citroen,C4 Picasso,MPV,152.1
Citroen,C5,Sedan,153.16
Citroen,C6,Sedan,276.56
Citroen,C8,MPV,171.47
Citroen,Dispatch,Van,166.13
Citroen,Grand C4 Picasso,MPV,155.22
Citroen,Nemo Multispace,MPV,92.65
Citroen,Saxo,Hatchback,57.5
Citroen,SpaceTourer,MPV,249.69
Citroen,Synergie,MPV,148.74
Citroen,Xantia,Sedan,105.48
Citroen,Xsara,Hatchback,86.95
Citroen,Xsara Picasso,MPV,112.7
Corvette,C6,Sports,607.6
Corvette,Stingray,Sports,796.04
DS,3,Hatchback,118.42
DS,4,Hatchback,163.4
DS,5,Hatchback,218.19
Dacia,Duster,SUV,79.18
Dacia,Logan MCV,Estate,60.75
Dacia,Sandero,Hatchback,52.64
Daewoo,Kalos,Hatchback,61.48
Daewoo,Lacetti,Hatchback,81.85
Daewoo,Lanos,Hatchback,67.63
Daewoo,Leganza,Sedan,111.57
Daewoo,Matiz,Hatchback,52.98
Daewoo,Musso,SUV,154.4
Daewoo,Nubira,Sedan,95.79
Daewoo,Tacuma,MPV,92.06
Daihatsu,Charade,Hatchback,57.05
Daihatsu,Copen,Convertible,123.2
Daihatsu,Cuore,Hatchback,53.36
Daihatsu,Fourtrak,SUV,133.94
Daihatsu,Materia,Hatchback,94.2
Daihatsu,Sirion,Hatchback,68.04
Daihatsu,Terios,SUV,100.42
Daihatsu,YRV,Hatchback,69.16
Dodge,Avenger,Sedan,133.36
Dodge,Caliber,Hatchback,107.35
Dodge,Journey,SUV,145.02
Dodge,Nitro,SUV,175.0
Ferrari,360,Sports,1362.46
Ferrari,456,Sports,2228.73
Ferrari,458,Sports,2276.92
Ferrari,488,Sports,2410.19
Ferrari,550,Sports,1958.98
Ferrari,612,Sports,2411.96
Ferrari,812 Superfast,Sports,3440.05
Ferrari,California,Convertible,1543.47
Ferrari,F12berlinetta,Sports,3151.54
Ferrari,F355,Sports,1217.12
Ferrari,F430,Sports,1781.92
Ferrari,FF,Sports,3015.25
Ferrari,Gtc4lusso,Sports,2612.07
Ferrari,Portofino,Convertible,1734.35
Fiat,124 Spider,Convertible,211.7
Fiat,500,Hatchback,85.59
Fiat,500L,Hatchback,119.35
Fiat,500X,SUV,127.94
Fiat,Barchetta,Convertible,154.71
Fiat,Brava,Hatchback,88.03
Fiat,Bravo,Hatchback,102.88
Fiat,Croma,Sedan,130.15
Fiat,Doblo,MPV,99.32
Fiat,Fiorino,Van,105.99
Fiat,Grande Punto,Hatchback,69.44
Fiat,Idea,MPV,87.74
Fiat,Marea,Sedan,107.24
Fiat,Multipla,MPV,121.23
Fiat,Panda,Hatchback,69.59
Fiat,Punto,Hatchback,73.21
Fiat,Punto Evo,Hatchback,86.91
Fiat,Qubo,MPV,99.49
Fiat,Scudo,Van,162.1
Fiat,Sedici,SUV,94.97
Fiat,Seicento,Hatchback,49.82
Fiat,Stilo,Hatchback,88.22
Fiat,Tipo,Hatchback,115.81
Fiat,Ulysse,MPV,148.55
Ford,B-Max,MPV,116.65
Ford,C-Max,MPV,162.97
Ford,Cougar,Coupe,209.06
Ford,EcoSport,SUV,129.83
Ford,Edge,SUV,271.76
Ford,Explorer,SUV,224.22
Ford,Fiesta,Hatchback,78.92
Ford,Focus,Hatchback,112.72
Ford,Focus C-Max,MPV,121.0
Ford,Fusion,MPV,92.98
Ford,Galaxy,MPV,190.73
Ford,Grand C-Max,MPV,181.32
Ford,Grand Tourneo Connect,MPV,159.7
Ford,Ka,Hatchback,69.48
Ford,Kuga,SUV,183.2
Ford,Maverick,SUV,162.04
Ford,Mondeo,Sedan,136.82
Ford,Mustang,Sports,411.87
Ford,Puma,SUV,113.73
Ford,S-Max,MPV,190.07
Ford,Streetka,Convertible,130.58
Ford,Tourneo Connect,MPV,130.71
Ford,Tourneo Courier,MPV,127.94
Ford,Transit Courier,Van,137.35
Honda,Accord,Sedan,160.5
Honda,CR-V,SUV,166.23
Honda,CR-Z,Coupe,184.81
Honda,Civic,Hatchback,117.49
Honda,FR-V,MPV,134.15
Honda,HR-V,SUV,148.92
Honda,Insight,Hatchback,151.2
Honda,Integra,Coupe,209.22
Honda,Jazz,Hatchback,96.2
Honda,Legend,Sedan,297.04
Honda,Prelude,Coupe,196.7
Honda,S2000,Convertible,283.95
Honda,Stream,MPV,142.24
Hummer,H2,SUV,427.04
Hummer,H3,SUV,233.6
Hyundai,Accent,Sedan,68.13
